endTime,artistName,trackName,msPlayed
2022-06-27 18:12,Dirty Pretty Things,Bang Bang You're Dead,14431
2022-06-27 18:12,Josefien,The End of the World,151382
2022-06-27 18:14,polnalyubvi,"Не покидай меня никогда, море",1277
2022-06-27 18:14,Cage The Elephant,Cigarette Daydreams,882
2022-06-27 18:14,Sigrid,Everybody Knows,119350
2022-06-27 18:14,Unions,Rescue Me,1230
2022-06-27 18:14,Juke Ross,Morning Breeze,1184
2022-06-27 18:14,KALEO,Into My Mother's Arms,952
2022-06-27 18:14,Lana Del Rey,Ultraviolence,928
2022-06-27 18:14,Sam Smith,To Die For,1253
2022-06-27 18:18,Kodaline,One Day - 2014 Version,224140
2022-06-27 18:21,Zayde Wølf,Hustler,194771
2022-06-27 18:23,Arctic Monkeys,Do I Wanna Know?,124293
2022-06-27 18:23,Melendi,Desde Que Estamos Juntos,1671
2022-06-27 18:27,Fleurie,Soldier,3703
2022-06-27 18:27,Guitarricadelafuente,Sixtinain,998
2022-06-27 18:27,Sia,California Dreamin',2484
2022-06-27 18:27,Hozier,Sunlight,216967
2022-06-27 18:27,Lana Del Rey,Body Electric,1091
2022-06-27 18:27,Sam Smith,Like I Can,1532
2022-06-27 18:27,Lana Del Rey,Cherry,1160
2022-06-27 18:27,Gregory Alan Isakov,Master & A Hound,1346
2022-06-27 18:27,Imagine Dragons,Birds (feat. Elisa),1439
2022-06-27 18:27,Oasis,Champagne Supernova - Remastered,3250
2022-06-27 18:27,Joaquín Sabina,19 Dias y 500 Noches,1230
2022-06-27 18:27,Lana Del Rey,Shades Of Cool,1369
2022-06-27 18:27,Måneskin,ZITTI E BUONI - Eurovision Version,4295
2022-06-27 18:27,Manchester Orchestra,I Can Feel a Hot One,3343
2022-06-27 18:27,David Rees,De Ellos Aprendí,789
2022-06-27 18:31,Bryce Fox,Horns,217625
2022-06-27 18:33,Wolf Colony,Holy,1160
2022-06-27 18:33,Avicii,The Nights,145068
2022-06-27 18:34,Lana Del Rey,Burning Desire,1207
2022-06-27 18:34,Gregory Alan Isakov,"If I Go, I'm Goin",1021
2022-06-27 18:34,The Beatles,Come Together - Remastered 2009,1160
2022-06-27 18:34,The Weather Girls,It's Raining Men,1021
2022-06-27 18:34,Alfred García,De La Tierra Hasta Marte,1729
2022-06-27 18:34,Zayde Wølf,Born Ready,1068
2022-06-27 18:34,Lana Del Rey,Dark Paradise,3959
2022-06-27 18:36,The Weather Girls,It's Raining Men,135767
2022-06-27 18:36,Zayde Wølf,Born Ready,1253
2022-06-27 18:41,Oasis,Don't Look Back In Anger,287826
2022-06-27 19:09,Gert Taberner,Fallen,835
2022-06-27 19:09,Lorde,Royals,789
2022-06-27 19:09,Okean Elzy,Коли ми станем собою - Mono Version,1718
2022-06-27 19:09,Tom Gregory,Rather Be You,1602
2022-06-27 19:09,El Cuarteto De Nos,Me Amo,882
2022-06-27 19:09,Lana Del Rey,Blue Jeans,882
2022-06-27 19:09,Guitarricadelafuente,Catalina,719
2022-06-27 19:09,Sam Smith,Fix You - Live,1904
2022-06-27 19:09,Avicii,Wake Me Up,812
2022-06-27 19:09,Guitarricadelafuente,Mil y una noches,673
2022-06-27 19:09,Gang of Youths,Achilles Come Down,464
2022-06-27 19:09,Naughty Boy,Runnin' (Lose It All),207709
2022-06-27 19:09,Family of the Year,Hero,557
2022-06-27 19:09,TVORCHI,Believe,789
2022-06-27 19:09,Lana Del Rey,Cherry Blossom,789
2022-06-27 19:09,Lana Del Rey,Diet Mountain Dew,952
2022-06-27 19:09,Fort Nowhere,The Times They Are A-Changin',557
2022-06-27 19:09,Florence + The Machine,You've Got The Love,1137
2022-06-27 19:09,Chase Holfelder,Animal,743
2022-06-27 19:13,Gang of Youths,Achilles Come Down,253991
